 ,institution,provider,Invisibility,2019_contract_content,2022_contract_content,"keywords (course[development, content, material, instruction], revenue share, academic support, recruitment, marketing, software, tutoring etc.)",price_per_year,revenue_share,programs_courses,Courses
1,Alabama State University,Kaplan,0,"Kaplan designs and develops Distance Learning Programs and other services for Alabama State University. Kaplan also impact curriculum, content and instructional support. A revenue share agreement is also detailed ",,course content | course development | revenue share ,,,,
6,Black Hawk College,Edmentum,0,"This contract says that Edmentum will administer the program with support of Black Hawk College staff. It also explains that Edmentum provides licenced courses, qualified teachers while the school must provide a program adiministrator and determine what courses a student will take.",,course instruction | course material | course concent | course development | software,"$20,670 + per course price ($50-$2,500)",,,
7,Black Hawk College,Gatlin Education Services,0,,"Provides marketing services such as setting up custom brochures, assisting in the set up of the content for the website and supporting direct mail campaigns or/and advertising in local paper to create community awareness.",marketing,,,,
16,Eastern Michigan University,Academic Partnerships,1,"This contract states that AP provides marketing, recruiting, and promotion of the programs, program development, support and implementation, and academic support services. The university is responsible for the faculty selection and delivery of online programs.",,Marketing | Recruitment | Academic support | Course development | Revenue share,,50%,,
17,Emporia State University,Instructional Connections,0,"This contract explains that IC's academic coaches assist the university in course instructional support and delivery in Online Educational courses and/or degree programs. IC might help grade assignments, participate in and monitor course discussions or work under faculty resolve issues relative to course delivery. ",,course development | course instruction | academic support,"Per student course payment: undergraduate courses ($34-$42), graduate courses ($42-$50) and doctoral courses ($55-$70)",,,
18,Emporia State University,Academic Partnerships,0,"Almost identical to contract #16. AP provides marketing, recruiting, and promotion of the programs, program development, support and implementation, and academic support services, but the university is responsible for faculty selection and delivery of online programs. ",,marketing | recruitment | academic support | course development | revenue share,,25%-50%,,
19,Florida State University,Keypath,0,"Most of keypath's objectives, duties and responsibilities are redacted.","It is unclear what Keypath's role is: Many of the OPM's objectives and responsibilities are redacted from the contract. The visible parts of the contract explains that Keypath will conduct an institution and program assessment and assist in the development of effective course delivery models. <br><br>Florida State University is responsible for admissions, the development and delivery of course content, curriculum and the appointment of faculty. ",,,,,
27,Lamar University,Academic Partnerships,0,"AP is responsible for the marketing and recruiting to the program/courses, support the development of the program. Unclear whether the school or AP provides the courses/programs. list of AP online programs (p. 13)  ",,revenue share | marketing | recruitment | course development,,30%-50%,,
28,Louisiana State University System,Academic Partnerships,0,"AP provides market analyses, a team that will help the school convert course content into an online format (the school is responsible for the development and maintenance of all courses), marketing and recruitment services, maximize student retention and enhance graduation rates and student registration (p. 9-10)",,revenue share | marketing | recruitment | course development | academic support,,50%,,
29,Louisiana State University-Shreveport,Academic Partnerships,0,"AP provides market analyses, a team that will help the school convert course content into an online format (the school is responsible for the development and maintenance of all courses), marketing and recruitment services, maximize student retention and enhance graduation rates and student registration (p. 8-9)",,revenue share | marketing | recruitment | course development | academic support,,50%,,
33,Michigan State University,Virtual Internship Partners Limited,0,"VI provides an unpaid online work placement with a company or non-profit organization, a personal career program experience manager and internship coach, arranges weekly group discussions and business webinars, provides access to online curriculum, and membership of the VI Alumni Network",,,,,,
